City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Zhireken,RU,52.82,117.31,53.89,73,22,2.68,few clouds
241,Kultuk,RU,51.72,103.7,47.05,76,0,1.88,clear sky
242,Jinchang,CN,38.5,102.17,63.82,40,3,0.74,clear sky
243,Dekar,BW,-21.53,21.93,60.44,33,0,7.45,clear sky
244,Hirara,JP,24.8,125.28,80.6,83,20,4.7,few clouds
245,Savannah Bight,HN,16.45,-85.85,82.74,79,81,11.52,broken clouds
246,Hobyo,SO,5.35,48.53,76.08,81,9,20.87,clear sky
247,Roald,NO,62.58,6.13,51.8,93,16,4.7,light rain
248,Goderich,CA,43.75,-81.72,72.0,65,27,20.24,scattered clouds
249,Santa Helena De Goias,BR,-17.81,-50.6,78.94,23,8,5.12,clear sky
250,Pontes E Lacerda,BR,-15.23,-59.34,85.03,19,40,1.01,scattered clouds
251,Sovetskiy,RU,61.36,63.58,44.08,89,0,4.38,clear sky
252,Lancaster,US,40.25,-76.25,79.0,57,4,1.01,clear sky
253,Lavrentiya,RU,65.58,-171.0,44.47,71,94,19.15,overcast clouds
254,Daru,PG,-9.08,143.21,78.94,85,98,17.74,overcast clouds
255,Vanimo,PG,-2.67,141.3,82.72,70,67,7.56,broken clouds
256,Mezhdurechensk,RU,53.69,88.06,45.93,94,100,0.72,light rain
257,Kapuskasing,CA,49.42,-82.43,60.8,59,90,14.99,overcast clouds
258,Mahebourg,MU,-20.41,57.7,69.8,88,75,5.82,light intensity shower rain
259,Kedgwick,CA,47.64,-67.34,51.58,78,25,0.94,scattered clouds
260,Barranca,PE,-10.75,-77.77,60.4,82,59,7.02,broken clouds
261,Fare,PF,-16.7,-151.02,78.49,76,70,12.24,light rain
262,Vredendal,ZA,-31.67,18.5,58.41,63,0,6.22,clear sky
263,Rocha,UY,-34.48,-54.33,43.93,91,7,4.79,clear sky
264,Grand Gaube,MU,-20.01,57.66,66.99,88,92,5.99,moderate rain
265,Koutiala,ML,12.39,-5.46,73.18,94,100,4.81,moderate rain
266,Mayo,US,38.89,-76.51,79.0,47,1,6.93,clear sky
267,Dargaville,NZ,-35.93,173.88,57.76,87,44,11.65,light rain
268,Udachnyy,RU,66.42,112.4,30.2,100,90,4.47,fog
269,Henties Bay,NA,-22.12,14.28,54.0,92,0,5.01,clear sky
270,Pouebo,NC,-20.4,164.57,75.24,67,99,13.09,overcast clouds
271,Kasongo-Lunda,CD,-6.47,16.82,77.25,64,29,3.56,scattered clouds
272,Kijang,KR,35.24,129.21,77.0,88,90,63.31,heavy intensity rain
273,Beloha,MG,-25.17,45.05,62.31,82,0,13.09,clear sky
274,Lincoln,US,40.8,-96.67,93.99,36,1,6.93,clear sky
275,Kota Bahru,MY,6.13,102.24,75.2,94,20,3.36,few clouds
276,Marmashen,AM,40.83,43.78,59.0,67,5,1.12,clear sky
277,Sechura,PE,-5.56,-80.82,68.47,63,4,16.44,clear sky
278,Samarai,PG,-10.62,150.67,78.96,86,99,16.62,overcast clouds
279,The Pas,CA,53.83,-101.25,48.2,76,90,14.99,overcast clouds
280,Methoni,GR,36.82,21.7,77.0,68,0,1.12,clear sky
281,Mitsamiouli,KM,-11.38,43.28,74.71,72,0,3.89,clear sky
282,Tarata,BO,-17.62,-66.02,73.4,31,75,11.41,broken clouds
283,Pisco,PE,-13.7,-76.22,64.99,72,21,16.11,few clouds
284,Cabinda,AO,-5.55,12.2,73.18,90,48,7.31,scattered clouds
285,Tilichiki,RU,60.47,166.1,46.8,69,97,3.04,overcast clouds
286,Energeticheskiy,KZ,43.43,77.02,62.6,36,90,4.47,overcast clouds
287,Jibuti,DJ,11.5,42.5,86.0,79,1,8.63,clear sky
288,Masterton,NZ,-40.96,175.66,54.0,69,46,4.0,scattered clouds
